2	1	0.6460428571	5.543959306	-8.5762	-2.60325	0	3.8204	12.7168
2	2	0.6326714286	4.253525542	-8.1592	-0.99555	0.4444	2.5593	9.7648
2	3	-0.3083714286	4.316052565	-13.5838	-0.5069	0.1178	2.6575	5.714
2	4	5.439307143	6.34094894	-2.7134	0.4305	4.216	8.6118	20.4545
2	5	1.373907143	4.593519255	-4.5879	-2.2156	1.5	3.3655	12.4802
2	6	1.4465	5.505837864	-6.6667	-1.8759	0	3.0522	12.2525
2	7	0.4566714286	4.989905288	-12.5	-1.50125	1.7262	3.5819	8.8235
2	8	1.787778571	5.552496685	-6.1425	-1.785	1.0101	4.26985	14.0741
2	9	0.9022428571	4.648459667	-6.6598	-1.0069	0.8383	2.96195	12.3184
2	10	-0.08525	5.731648822	-10.3468	-2.65025	0.2574	1.87215	11.8045
2	11	0.91994	5.419224525	-5.875	-2.3716	0	2.92735	15.9794
2	12	0.07865333333	5.319337686	-11.4668	-3.203	1.8957	4.3113	6.6667